Flachstahl,   90/15,10.600,,2.50,6
Flachstahl,   90/20,14.130,,2.50,6
Flachstahl,   90/25,17.660,,2.60,6
Flachstahl,   90/30,21.200,,2.65,6
Flachstahl,   90/40,28.300,,2.70,6
Flachstahl,   100/4,3.140,,2.60,6
Flachstahl,   100/5,3.930,,2.50,6
Flachstahl,   100/6,4.710,,2.50,6
Flachstahl,   100/8,6.280,,2.45,6
Flachstahl,   100/10,7.850,,2.45,6
Flachstahl,   100/12,9.420,,2.45,6
Flachstahl,   100/15,11.780,,2.45,6
Flachstahl,   100/20,15.700,,2.45,6
Flachstahl,   100/25,19.630,,2.45,6
Flachstahl,   100/30,23.550,,2.55,6
Flachstahl,   100/40,31.400,,2.65,6
Flachstahl,   100/50,39.250,,2.65,6
Flachstahl,   100/60,47.100,,2.70,6
Flachstahl,   110/6,5.180,,2.60,6
Flachstahl,   110/8,6.910,,2.55,6
Flachstahl,   110/10,8.640,,2.50,6
Flachstahl,   110/12,10.360,,2.55,6
Flachstahl,   110/15,12.950,,2.50,6
Flachstahl,   110/20,17.270,,2.50,6
Flachstahl,   110/25,21.590,,2.60,6
Flachstahl,   120/4,3.770,,2.70,6
Flachstahl,   120/5,4.710,,2.55,6
Flachstahl,   120/6,5.650,,2.50,6
Flachstahl,   120/8,7.540,,2.45,6
Flachstahl,   120/10,9.420,,2.45,6
Flachstahl,   120/12,11.300,,2.45,6
Flachstahl,   120/15,14.130,,2.45,6
Flachstahl,   120/20,18.840,,2.45,6
Flachstahl,   120/25,23.550,,2.55,6
Flachstahl,   120/30,28.260,,2.55,6
Flachstahl,   120/40,37.680,,2.65,6
Flachstahl,   120/50,47.100,,2.70,6
Flachstahl,   120/60,56.520,,2.75,6
Flachstahl,   130/5,5.100,,2.65,6
Flachstahl,   130/6,6.120,,2.55,6
Flachstahl,   130/8,8.160,,2.50,6
Flachstahl,   130/10,10.210,,2.45,6
Flachstahl,   130/12,12.250,,2.55,6
Flachstahl,   130/15,15.310,,2.50,6
Flachstahl,   130/20,20.410,,2.55,6
Flachstahl,   130/25,25.510,,2.60,6
Flachstahl,   130/30,30.620,,2.60,6
Flachstahl,   140/5,5.500,,2.60,6
Flachstahl,   140/6,6.590,,2.60,6
Flachstahl,   140/8,8.790,,2.50,6
Flachstahl,   140/10,10.990,,2.45,6
Flachstahl,   140/12,13.190,,2.50,6
Flachstahl,   140/15,16.490,,2.45,6
Flachstahl,   140/20,21.980,,2.45,6
Flachstahl,   140/25,27.480,,2.55,6
Flachstahl,   140/30,32.970,,2.55,6
Flachstahl,   150/5,5.890,,2.55,6
Flachstahl,   150/6,7.070,,2.55,6
Flachstahl,   150/8,9.420,,2.45,6
Flachstahl,   150/10,11.780,,2.45,6
Flachstahl,   150/12,14.130,,2.45,6
Flachstahl,   150/15,17.660,,2.45,6
Flachstahl,   150/20,23.550,,2.45,6
Flachstahl,   150/25,29.440,,2.55,6
Flachstahl,   150/30,35.330,,2.55,6
Flachstahl,   150/40,47.100,,2.70,6
Flachstahl,   150/50,58.880,,2.70,6
Flachstahl,   150/60,70.650,,2.75,6
Breitflachstahl,   160/6,7.680,,2.60,6
Breitflachstahl,   160/8,10.200,,2.50,6
Breitflachstahl,   160/10,12.800,,2.45,6
Breitflachstahl,   160/12,15.400,,2.50,6
Breitflachstahl,   160/15,19.200,,2.45,6
Breitflachstahl,   160/20,25.600,,2.45,6
Breitflachstahl,   160/25,32.000,,2.60,6
Breitflachstahl,   160/30,38.400,,2.55,6
Breitflachstahl,   160/40,51.200,,2.70,6
Breitflachstahl,   160/50,64.000,,2.70,6
Breitflachstahl,   170/6,8.160,,2.70,6
Breitflachstahl,   170/8,10.900,,2.60,6
Breitflachstahl,   170/10,13.600,,2.60,6
Breitflachstahl,   170/12,16.300,,2.60,6
Breitflachstahl,   170/15,20.400,,2.55,6
Breitflachstahl,   170/20,27.200,,2.60,6
Breitflachstahl,   170/25,34.000,,2.65,6
Breitflachstahl,   180/6,8.640,,2.60,6
